YEAR,QUARTER,ID,Nowcast,Forecast
1970,2,70,47.30,48.20
1970,2,73,46.00,48.00
1970,2,75,46.10,45.00
1970,2,77,44.20,45.00
1970,2,83,47.00,48.00
1970,2,86,45.50,46.50
1970,2,89,47.00,47.70
1970,2,97,45.00,35.00
1970,2,98,46.40,47.30
1970,2,103,46.00,45.00
1970,2,106,#N/A,#N/A
1970,2,107,47.80,48.50
1970,3,1,46.70,49.60
1970,3,3,#N/A,#N/A
1970,3,4,46.90,46.30
1970,3,6,45.00,46.00
1970,3,7,44.00,45.00
1970,3,8,46.10,46.70
1970,3,10,44.10,44.90
1970,3,13,49.00,49.00
1970,3,15,47.80,48.30
1970,3,16,46.50,47.50
1970,3,18,43.00,44.10
1970,3,21,46.00,47.00
1970,3,22,46.00,47.20
1970,3,23,41.00,40.00
1970,3,28,51.50,52.00
1970,3,31,48.00,50.00
1970,3,32,44.00,46.00
1970,3,33,44.00,46.00
1970,3,34,44.60,45.00
1970,3,38,47.00,47.50
1970,3,40,#N/A,#N/A
1970,3,42,#N/A,#N/A
1970,3,43,43.00,43.00
1970,3,46,46.00,47.00
1970,3,48,42.00,43.00
1970,3,49,44.20,44.80
1970,3,51,45.00,46.00
1970,3,52,44.50,46.50
1970,3,54,46.50,48.00
1970,3,58,46.70,47.10
1970,3,59,46.00,47.00
1970,3,60,42.00,42.50
1970,3,61,48.50,51.00
1970,3,64,43.00,43.00
1970,3,65,48.00,49.00
1970,3,66,44.00,44.20
1970,3,67,43.50,43.00
1970,3,69,42.00,42.00
1970,3,72,45.00,45.50
1970,3,73,45.00,46.00
1970,3,75,42.50,42.00
1970,3,77,41.00,40.00
1970,3,78,43.00,44.00
1970,3,79,44.20,45.00
1970,3,82,43.00,44.00
1970,3,85,45.00,45.50
1970,3,86,45.00,46.50
1970,3,91,45.00,47.00
1970,3,93,#N/A,#N/A
1970,3,94,45.50,46.00
1970,3,95,44.20,44.60
1970,3,98,45.30,45.90
1970,3,100,43.00,42.50
1970,3,102,45.00,46.00
1970,3,103,44.00,46.00
1970,3,104,45.20,45.70
1970,3,106,#N/A,#N/A
1970,4,1,44.00,48.00
1970,4,3,44.70,46.00
1970,4,7,44.00,46.50
1970,4,14,43.00,47.30
1970,4,15,43.50,46.50
1970,4,16,44.50,46.50
1970,4,17,47.00,48.00
1970,4,18,47.00,50.00
1970,4,21,43.00,47.50
1970,4,23,#N/A,#N/A
1970,4,26,46.60,48.90
1970,4,28,45.00,45.00
1970,4,31,45.00,42.00
1970,4,32,46.50,47.50
1970,4,34,43.00,45.00
1970,4,38,#N/A,#N/A
1970,4,39,44.00,44.00
1970,4,40,#N/A,#N/A
1970,4,42,#N/A,#N/A
1970,4,46,44.00,47.00
1970,4,48,44.80,45.40
1970,4,49,43.40,47.60
1970,4,51,44.20,46.50
1970,4,52,42.50,47.00
1970,4,54,#N/A,#N/A
1970,4,55,45.90,47.00
1970,4,56,45.00,46.20
1970,4,58,43.90,46.10
1970,4,59,#N/A,#N/A
1970,4,61,46.00,49.10
1970,4,64,44.00,45.50
1970,4,65,43.50,48.00
1970,4,66,43.60,44.10
1970,4,67,43.00,44.00
1970,4,68,46.00,47.00
1970,4,69,44.00,43.00
1970,4,70,45.80,46.40
1970,4,72,44.40,46.20
1970,4,73,44.30,47.20
1970,4,75,45.80,46.30
1970,4,77,41.90,42.60
1970,4,78,43.40,45.40
1970,4,82,46.00,47.50
1970,4,86,44.50,46.00
1970,4,89,44.20,47.20
1970,4,93,#N/A,#N/A
1970,4,95,44.50,49.00
1970,4,98,45.00,46.00
1970,4,103,45.50,46.50
1970,4,104,42.30,47.50
1970,4,106,#N/A,#N/A
1970,4,111,45.70,45.40
1970,4,112,43.50,48.00
1970,4,113,#N/A,#N/A
1970,4,114,46.50,48.00
1970,4,115,#N/A,#N/A
1970,4,116,44.00,48.00
1970,4,117,43.00,45.00
1970,4,118,#N/A,#N/A
1970,4,119,#N/A,#N/A
1970,4,120,44.00,45.30
1970,4,121,43.50,47.00
1970,4,122,#N/A,#N/A
1970,4,123,46.00,46.00
1970,4,124,#N/A,#N/A
1970,4,125,46.00,47.00
1970,4,126,44.00,48.00
1970,4,127,#N/A,#N/A
1970,4,128,#N/A,#N/A
1970,4,129,42.80,43.90
1970,4,130,#N/A,#N/A
1970,4,131,44.10,46.20
1970,4,132,44.90,45.90
1970,4,133,#N/A,#N/A
1970,4,134,44.40,47.50
1970,4,135,#N/A,#N/A
1970,4,136,43.00,47.50
1970,4,137,#N/A,#N/A
1970,4,138,44.00,47.00
1970,4,139,43.10,45.30
1970,4,140,#N/A,#N/A
1970,4,141,46.00,46.00
1970,4,142,41.50,46.50
1970,4,143,#N/A,#N/A
1970,4,144,44.00,45.20
1970,4,151,#N/A,#N/A
1970,4,152,#N/A,#N/A
1970,4,153,#N/A,#N/A
1970,4,155,#N/A,#N/A
1970,4,156,#N/A,#N/A
1970,4,157,#N/A,#N/A
1970,4,158,#N/A,#N/A
